id,review,positive,negative,neutral,Clean,Comfort,Facilities/Amenities,Location,Restaurant (dinner),Staff,View (Balcony),Breakfast,Room,Pool,Beach,Bathroom/Shower (toilet),Bar,Bed,Parking,Noise,Reception-checkin,Lift,Value for money,Wi-Fi,Generic,Aspect,
13601,The access courtyard (with car parking) is a bit messy.,,1,,,,,,,,,,,,,,,,1,,,,,,,,
13602,"The access of the building makes an impression far to be favourable, even if not in the responsibility of the Staff.",1,,,,,,,,1,,,,,,,,,,,,,,,,,
13603,"The access to the hotel is odd, the breakfast is of very average quality, the location close to the historic center but dirty street and square, noisy - a balcony on this avenue.",,1,,,,,1,,,,1,,,,,,,,,,,,,,,
13604,"The access to the pool reserved more for sports practice than to relax, pity.",,1,,,,,,,,,,,1,,,,,,,,,,,,,
13605,The access was poor from the street.,,1,,,,,1,,,,,,,,,,,,,,,,,,,
13606,"The accessible room was a bit dark and it had a bath, not a shower.",,1,,,,,,,,,,1,,,1,,,,,,,,,,,
13607,The accommodation is a little outdated especially the bathroom that would need a face-lift.,,1,,,,,,,,,,1,,,1,,,,,,1,,,1,,
13608,The accommodation is cheap for Copenhagen standards and close to the city center.,1,,,,,,1,,,,,,,,,,,,,,,1,,,,
13609,The accommodation is coupled to a hotel which is however a 15 min walk away.,,,1,,,,1,,,,,,,,,,,,,,,,,,,
13610,The accommodation is in a good location.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
13611,The accommodation is nothing to see how it shows you in the photos.,,1,,,,,,,,,,,,,,,,,,,,,,,,
13612,"The accommodation is simple and clean, but right on a very large street so you can't open the window.",,,1,1,,,,,,,,,,,,,,,,,,,,,,
13613,The accommodation is simple and clean.,1,,,1,,,,,,,,,,,,,,,,,,,,,,
13614,The accommodation was clean and comfortable.,1,,,1,1,,,,,,,,,,,,,,,,,,,,,
13615,The accommodation was lovely and clean and the staff was very friendly.,1,,,1,,,,,1,,,,,,,,,,,,,,,,1,
13616,The accommodation was spotlessly clean.,1,,,1,,,,,,,,,,,,,,,,,,,,,,
13617,"The accommodation was super well located, Cristina was available and gave very good advice!",1,,,,,,,,1,,,,,,,,,,,,,,,,,
13618,The accommodation was very central.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
13619,The accommodation was very clean.,1,,,1,,,,,,,,,,,,,,,,,,,,,,
13620,"The accommodations were clean and spacious, and coffee/tea and pastry was available in the morning.",1,,,1,1,1,,,,,,1,,,,,,,,,,,,,1,
13621,"The actual location to the building where you have to check in was a 15 minute walk, which wasn?t stated in the booking information.",,1,,,,,1,,,,,,,,,,,,,1,,,,,,
13622,The advertised led TV: it was very small.,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
13623,"The Aerobus buses (30 minutes from the airport) stop in Placa de Catalunya, which is a casual 10 minute walk away from this hotel.",,1,,,,,1,,,,,,,,,,,,,,,,,,,
13624,"The agreement with the nearby bar for breakfast should be improved, I suggest. - clarify the details of the convention and include at least the table service, which the bar did not want to do.",,1,,,,,,,,,1,,,,,1,,,,,,,,,,
13625,The air condition in our first room made a lot of noise.,,1,,,,1,,,,,,1,,,,,,,1,,,,,,,
13626,The air condition was not working properly.,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
13627,The air condition was not working very well.,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
13628,The air conditioner and the bathroom both had a strange smell after a few days of using them.,,1,,,,1,,,,,,1,,,1,,,,,,,,,,,
13629,The air conditioner did not work in my room.,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
13630,The air conditioner in the living room only blew out cold.,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
13631,The air conditioner is very poor.,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
13632,The air conditioner system couldnt handle it!,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
13633,The air conditioner was automatically turning on when the window was closed.,1,,,,,1,,,,,,1,,,,,,,,,,,,,,
13634,The air conditioner was not work properly in the hot summer.,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
13635,The air conditioner was very noisy.,,1,,,,1,,,,,,1,,,,,,,1,,,,,,,
13636,The air conditioner/heater couldn?t be programmed to be colder or hotter.,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
13637,The air conditioning barely worked and it was always too hot in the room.,,1,,,,1,,,,,,1,,,,1,,,,,,,,,,
13638,"The air conditioning cannot be regulated in the room, it is central, so there were moments when it was really cold, the terrace and pool opened very late, 12 noon.",,1,,,,1,,,,,,1,1,,,,,,,,,,,,,
13639,"The air conditioning controller in the room worked perfectly,.",1,,,,,1,,,,,,1,,,,,,,,,,,,,,
13640,The air conditioning did not work despite the 17 degrees displayed.,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
13641,The air conditioning did not work in the room.,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
13642,The air conditioning did not work properly so it was far too hot to sleep.,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
13643,The air conditioning did not work very well.,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
13644,"The air conditioning did not work, bad, if it did not work the next day, we could change the room it was said, hm if you only book the room for 2 days you have less bock to pack everything up and move, WIFI did not work, the explanation was just not possible today, OK, unfortunately.",,1,,,,1,,,,,,1,,,,,,,,,,,1,,,
13645,The air conditioning did not work.,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
13646,The air conditioning didn't work and the hotel put a small fan in the room.,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
13647,The air conditioning didn't work very well.,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
13648,The Air conditioning didn't work well enough.,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
13649,The air conditioning does not cool the room at all.,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
13650,"The air conditioning does not work properly, we were hot and the windows cannot be opened on an 8 floor.",,1,,,,1,,,,,,1,,,,,,,,,,,,,,
13651,The air conditioning does not work.,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
13652,The air conditioning don?t work.,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
13653,The air conditioning in one of the room was not properly working.,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
13654,The air conditioning in one of the rooms was insufficient.,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
13655,The air conditioning in the room did not work very well and our room only had a small window so it got quite hot at times.,,1,,,,1,,,,,,1,,,,,,,,,,,,,1,
13656,The air conditioning in the room did not work very well.,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
13657,The air conditioning in the room did not work.,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
13658,The air conditioning in the room was very noisy so we couldn't keep it on during the night.,,1,,,,1,,,,,,1,,,,,,,1,,,,,,,
13659,The air conditioning is not adjustable (only definitively guilty) and one night.,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
13660,"The air conditioning is very noisy, breakfast cannot be included and there were no extra pillows if we wanted to.",,1,,,,1,,,,,1,1,,,,,,,,,,,,,,
13661,"The air conditioning stops alone in the middle of the night, in the middle of the summer the heat ended up waking us up :-(.",,1,,,,1,,,,,,1,,,,,,,,,,,,,,
13662,The air conditioning system didn't work properly and the room too hot at night.,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
13663,The air conditioning that cooled but did not heat.,,1,,,,1,,,,,,1,,,,,,,,,,,,,1,
13664,"The air conditioning that did not work very well and the TV in the second room following our problem which was not connected, impossible to have netflix etc.",,1,,,,1,,,,,,1,,,,,,,,,,,,,,
13665,The air conditioning turned itself on and made strange noises.,,1,,,,1,,,,,,1,,,,,,,1,,,,,,,
13666,The air conditioning unit was noisy and definitely not powerful enough.,,1,,,,1,,,,,,1,,,,,,,1,,,,,,,
13667,"The air conditioning was a little too loud because the fan only ran at full speed, no speed control.",,1,,,,1,,,,,,1,,,,,,,,,,,,,,
13668,The air conditioning was perfect.,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
13669,The air conditioning was very low.,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
13670,The air conditioning was very noisy.,,1,,,,1,,,,,,1,,,,,,,1,,,,,,,
13671,The air conditioning went off by itself after a certain period of time and could not be adjusted by itself.,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
13672,The air conditions was out of order.,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
13673,"The air in the room was either cold or hot, the air conditioner could not be adjusted.",,1,,,,1,,,,,,1,,,,,,,,,,,,,,
13674,The airco was not working the first night so we had to sweat it out.,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
13675,The Aircon did not work.,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
13676,The Aircon doesn?t work and the fridge in the room doesn?t work.,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
13677,The aircon was so weak I am not sure it would be enough in the summer.,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
13678,The aircon works perfectly and is new.,1,,,,,1,,,,,,1,,,,,,,,,,,,,,
13679,The aircondition in the room made too much noise.,,1,,,,1,,,,,,1,,,,,,,1,,,,,,,
13680,The air-condition/heating control was out of order.,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
13681,The airconditioning was barely doing its job.,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
13682,The air-conditioning was not working very well.,,1,,,,1,,,,,,1,,,,,,,,,,,,,,
13683,The also offer a toaster to warm the sandwiches.,1,,,,,,,,,,1,,,,,,,,,,,,,,,
13684,The amazing staff and location.,1,,,,,,1,,1,,,,,,,,,,,,,,,,,
13685,The amazing view from the top floor.,1,,,,,,,,,1,,1,,,,,,,,,,,,,,
13686,The ambiance is attractive and reception staff is helpful and friendly.,1,,,,,,,,1,,,,,,,,,,,,,,,1,,
13687,The ambience and the cool design are super.,1,,,,,,,,,,,,,,,,,,,,,,,1,,
13688,"The amenities, the kindness of the hostess, the proximity of the hotel to the center of Barcelona.",1,,,,,1,1,,1,,,,,,,,,,,,,,,,,
13689,The amount of plugs and location was not sufficient (none next to bed).,,1,,,,,1,,,,,1,,,,,1,,,,,,,,,
13690,"The apartment complex is modern and with attention to details, large room, clean and with everything you need.",1,,,1,,1,,,,,,1,,,,,,,,,,,,1,,
13691,The apartment has a perfect location for visiting Naples.,1,,,,,,1,,,,,1,,,,,,,,,,,,,,
13692,"The apartment is nice, but could be cleaned more thoroughly.",,,1,1,,,,,,,,1,,,,,,,,,,,,,1,
13693,The apartment is not attached to the hotel so just slightly inconvenient to go back and forth.,,1,,,,,,,,,,1,,,,,,,,,,,,,,
13694,The apartment is quite dark because the windows overlook the inner courtyards.,,,1,,,,,,,,,1,,,,,,,,,,,,,,
13695,The apartment is very big and great for a family or singles group (2 very big double beds in one large bedroom) and also has a huge lounge/kitchen/dining open plan room.,1,,,,1,,,,,,,1,,,,,1,,,,,,,,,
13696,The apartment is very nice and modern.,1,,,,,,,,,,,1,,,,,,,,,,,,,,
13697,"The apartment is very old, not reachable by elevator.",,1,,,,,,,,,,,,,,,,,,,1,,,1,,
13698,"The apartment with kitchen, 2 bathrooms and daily service is highly recommended especially for families.",1,,,,,1,,,1,,,,,,1,,,,,,,,,,,
13699,The appartment was clean.,1,,,1,,,,,,,,,,,,,,,,,,,,,,
13700,The arae around the hotel is not so clean.,,1,,1,,,,,,,,,,,,,,,,,,,,,,
13701,The architecture of the building and nice room view to Copenhagen city.,1,,,,,,,,,1,,1,,,,,,,,,,,,1,,
13702,The area around is very nice for small cafes and walks.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
13703,The area around the hotel is noisy.,,1,,,,,1,,,,,,,,,,,,1,,,,,,,
13704,The area around the hotel is one big construction site.,,,1,,,,1,,,,,,,,,,,,,,,,,,,
13705,The area around the train station close to the hotel.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
13706,The area at night doesn't seem very safe.,,1,,,,,1,,,,,,,,,,,,,,,,,,,
13707,"The area did not feel safe, trash everywhere outside.",,1,,,,,1,,,,,,,,,,,,,,,,,,,
13708,The area is a beautiful new harbor neighborhood with plenty of caf‚s not far from public transport.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
13709,"The area is also a bit noisy during the night, so we had to have our windows closed.",,1,,,,,1,,,,,,,,,,,,1,,,,,,,
13710,"The area is beautiful: quiet, modern and on the seaside.",1,,,,,,1,,,,,,,,,,,,,,,,,,,
13711,The area is central but a bit noisy.,,,1,,,,1,,,,,,,,,,,,1,,,,,,1,
13712,"The area is central but is really disgusting, we saw so many rats in the street.",,,1,,,,1,,,,,,,,,,,,,,,,,,,
13713,The area is currently undergoing development so there isn't much near the hotel.,,1,,,,,1,,,,,,,,,,,,,,,,,,,
13714,The area is dangerous!,,1,,,,,1,,,,,,,,,,,,,,,,,,,
13715,The area is is full of constructions.,,1,,,,,1,,,,,,,,,,,,1,,,,,,,
13716,The area is not the best.,,1,,,,,1,,,,,,,,,,,,,,,,,,,
13717,"The area is quiet, close to the Diagonal and the nearest metro stop about 15 minutes walk.",1,,,,,,1,,,,,,,,,,,,1,,,,,,,
13718,The area is quite.,1,,,,,,,,,,,,,,,,,,1,,,,,,,
13719,"The area is slightly out of the main points, but in 15 minutes on foot you can get there.",,,1,,,,1,,,,,,,,,,,,,,,,,,1,
13720,The area is under development and it needs to improve.,,1,,,,,1,,,,,,,,,,,,,,,,,,,
13721,The area is very noisy from traffic from both sides of the hotel.,,1,,,,,1,,,,,,,,,,,,1,,,,,,,
13722,"The area looked a little tired, lots of graffitti.",,1,,,,,,,,,,,,,,,,,,,,,,1,,
13723,"The area of the train station seems a bit less safe than other place of the city in the nights, and we were advised to only take taxis, and not to walk around.",,1,,,,,1,,,,,,,,,,,,,,,,,,,
13724,The area wasn?t so nice.,,1,,,,,,,,,,,,,,,,,,,,,,,,
13725,The area wasn?t to clean.,,1,,1,,,,,,,,,,,,,,,,,,,,,,
13726,The area where the hotel is located is quite secluded.,,,1,,,,1,,,,,,,,,,,,,,,,,,,
13727,"The assortment is not large, but everything is very tasty.",,,1,,,,,,,,1,,,,,,,,,,,,,,1,
13728,The atmosphere and vibe was very welcoming.,1,,,,,,,,,,,,,,,,,,,,,,,,,
13729,The atmosphere inside room was warming and pleasant (we traveled in december).,1,,,,,,,,,,,1,,,,,,,,,,,,,,
13730,The atrium and reception area are amazing spaces and the humans working there were really incredible.,1,,,,,,,,1,,,,,,,,,,,,,,,,,
13731,The Atrium with the glass roof was lovely to relax in.,1,,,,,,,,,,,,,,,,,,,,,,,,,
13732,"The attention of the receptionist in the afternoon when we arrived, not friendly at all and scolded us for not reserving the parking in advance.",,1,,,,,,,1,,,,,,,,,1,,,,,,,,
13733,The attention of the staff and the location were excellent.,1,,,,,,1,,1,,,,,,,,,,,,,,,,,
13734,The attention of the staff was excellent.,1,,,,,,,,1,,,,,,,,,,,,,,,,,
13735,The attention of the staff was wonderful.,1,,,,,,,,1,,,,,,,,,,,,,,,,,
13736,"The attention of the staff, the location, the breakfast were amazing.",1,,,,,,1,,1,,1,,,,,,,,,,,,,,,
13737,"The attention of the staff, they definitely helped us in everything possible.",1,,,,,,,,1,,,,,,,,,,,,,,,,,
13738,The attention of the staff.,1,,,,,,,,1,,,,,,,,,,,,,,,,,
13739,"The attention to detail, the cleanliness, the tranquility, the smart TV, the electric blind, the very quiet mini fridge.",1,,,1,,1,,,,,,1,,,,,,,,,,,,,,
13740,"The attention, service, buffet and hotel quality were perfect.",1,,,,,,,,1,,1,,,,,,,,,,,,,,,
13741,The attitude of the reception desk.,1,,,,,,,,,,,,,,,,,,,,,,,,,
13742,The attitude of the staff is very good and patient.,1,,,,,,,,1,,,,,,,,,,,,,,,,,
13743,The availability and kindness of the employees.,1,,,,,,,,1,,,,,,,,,,,,,,,,,
13744,The availability of all the staff is priceless.,1,,,,,,,,1,,,,,,,,,,,,,,,,,
13745,The availability of the staff.,1,,,,,,,,1,,,,,,,,,,,,,,,,,
13746,The B & B is really centrally located.,1,,,,,,1,,,,,,,,,,,,,,,,,,,
13747,"The b&b has a good position and was overall acceptable, but considering the price to expensive.",,,1,,,,1,,,,,1,,,,,,,,,,1,,,1,
13748,"The b&b is located on the 11th floor (with elevator) in a nice condominium in the center, 10 minutes from the port, tastefully furnished, clean and modern.",1,,,1,,,1,,,,,1,,,,,,,,,,,,1,,
13749,"The B&B is on the first floor of a beautiful Napolitan Villa, it almost looked like a palace.",1,,,,,,,,,,,1,,,,,,,,,,,,,,
13750,The B&B overlooks a busy and noise intersection.,,1,,,,,1,,,1,,1,,,,,,,1,,,,,,,
13751,"The B&B was on the second floor without an elevator, when entering it smelled like sewage and the rooms were on a very busy road with no sound insulation.",,1,,,,,,,,,,1,,,,,,,1,,1,,,,,
13752,The b&b was very central and beautiful area.,1,,,,,,1,,,,,1,,,,,,,,,,,,,,
13753,"The back of the bed was ripped, the water in the shower is not fixed at the chosen temperature so it goes from hot to cold back and forth while showering.",,1,,,,,,,,,,,,,1,,1,,,,,,,,,
13754,The backyard of a restaurant was particularly noisy.,,1,,,,,,,,,,,,,,,,,1,,,,,,,
13755,The bad access for people with heavy luggage.,,1,,,,,,,,,,,,,,,,,,,,,,,,
13756,The bad communication skills of the young owner.,,1,,,,,,,1,,,,,,,,,,,,,,,,,
13757,The badroom just smelled bad.,,1,,1,,,,,,,,,,,1,,,,,,,,,,,
13758,The balcony and large windows in the room made the room.,1,,,,,,,,,,,1,,,,,,,,,,,,,,
13759,The balcony had a view to the side patio and main street.,1,,,,,,,,,1,,1,,,,,,,,,,,,,,
13760,The balcony I paid extra for was unusable.,,1,,,,,,,,1,,,,,,,,,,,,1,,,,
13761,The balcony is 30cm.,,,1,,,,,,,,,1,,,,,,,,,,,,,,
13762,The balcony is really small and split in half by plexi glass (doesn`t really give an inviting feeling).,,1,,,,,,,,,,1,,,,,,,,,,,,,,
13763,The balcony is small (more like a french balcony) so if you don?t need it it?s not worth it.,,1,,,,,,,,,,1,,,,,,,,,,,,,,
13764,The balcony is unusable due to 3 outdoor air conditioning units.,,1,,,,,,,,,,1,,,,,,,,,,,,,,
13765,"The balcony was a French balcony, so it was just a metal railing, overlooking the main street.",,,1,,,,1,,,,,1,,,,,,,,,,,,,,
13766,The balcony was big.,1,,,,1,,,,,,,1,,,,,,,,,,,,,,
13767,"The balcony was completely covered for work (which started with a hammering noise at 8 am sharp) and completely accessible from other rooms because of the construction they've undergone, but the worst part is that they've never informed us that the hotel is under renovation and that the balcony is not accessible (which is bad when I've booked a room specifically looking for a balcony).",,1,,,,,,,,,,1,,,,,,,1,,,,,1,,
13768,The balcony was dirty.,,1,,1,,,,,,,,1,,,,,,,,,,,,,,
13769,The balcony was much smaller than on the pictures.,,1,,,,,,,,,,1,,,,,,,,,,,,,,
13770,The balcony wasn't exactly a balcony.,,1,,,,,,,,,,1,,,,,,,,,,,,,,
13771,The bar and lounge area is also very lively at night.,1,,,,,,,,,,,,,,,1,,,,,,,,,,
13772,The bar and snacks from restaurant were all reasonably priced.,1,,,,,,,1,,,,,,,,1,,,,,,1,,,,
13773,The bar and upstairs bit closes at 7pm which is a bit early if you're working.,,1,,,,,,,,,,,,,,1,,,,,,,,,,
13774,The bar area on the top floor (by the pool) was really nice.,1,,,,,,,,,,,,1,,,1,,,,,,,,,,
13775,The bar at the entrace was nice.,1,,,,,,,,,,,,,,,1,,,,,,,,,,
13776,The bar below invites you for a nightcap.,,1,,,,,,,,,,,,,,1,,,,,,,,,,
13777,The bar downstairs was also very ambient and inviting for a nightcap without having to go back to the city after a long day of sight-seeing.,1,,,,,,,,,,,,,,,1,,,,,,,,,,
13778,The bar downstairs was noisy but all part of staying in the city centre.,,,1,,,,,,,,,,,,,1,,,1,,,,,,1,
13779,The bar guy was very courteous.,1,,,,,,,,1,,,,,,,1,,,,,,,,,,
13780,The bar is tiny.,,1,,,1,,,,,,,,,,,1,,,,,,,,,,
13781,The bar it's noisy and even the waiters at the end are well tipsy.,,1,,,,,,,1,,,,,,,1,,,1,,,,,,1,
13782,"The bar needed more staff, I felt sorry for the lady on the bar as it was busy and she was also cooking.",,1,,,,,,,1,,,,,,,1,,,,,,,,,,
13783,The bar needed more staff.,,1,,,,,,,1,,,,,,,1,,,,,,,,,,
13784,The bar offers a range of drinks and snacks.,1,,,,,,,,,,,,,,,1,,,,,,,,,,
13785,The bar on ground floor has superb beer collection.,1,,,,,,,,,,,,,,,1,,,,,,,,,,
13786,The bar on the ground floor isn?t open all day.,,1,,,,,,,,,,,,,,1,,,,,,,,,,
13787,The Bar staff are obviously not gifted with hospitality mentality.,,1,,,,,,,1,,,,,,,1,,,,,,,,,,
13788,The bar was not open yet.,,1,,,,,,,,,,,,,,1,,,,,,,,,,
13789,"The bar, perhaps one of the few in Naples, without a sfogliatelle.",,,1,,,,,,,,,,,,,1,,,,,,,,,,
13790,The bar/coffe place in the lobby floor is nice.,1,,,,,,,,,,,,,,,1,,,,,,,,,,
13791,The bar/dinning area is closed so early.,,1,,,,,,,,,,,,,,1,,,,,,,,,,
13792,The bar/restaurant is not up to a 4 star level.,,1,,,,,,,,,,,,,,1,,,,,,,,,,
13793,The bars a bit noisy when your room faces the street.,,1,,,,,1,,,,,1,,,,1,,,1,,,,,,,
13794,"The barthub is too high to get into, there are no grabrails, the glass partition is on hinges and let the water get to the floor, which is cracked and dirty.",,1,,1,,1,,,,,,1,,,,1,,,,,,,,,,
13795,The basement level breakfast buffet was really good.,1,,,,,,,,,,1,,,,,,,,,,,,,,,
13796,The bath had lots of black mould and it was dusty and looked like it needed a deep clean.,,1,,1,,,,,,,,,,,1,,,,,,,,,,,
13797,The bath tub a bit small.,,1,,,,1,,,,,,,,,1,,,,,,,,,,,
13798,The bath tub drain was weird too and we couldn?t stop it.,,1,,,,,,,,,,,,,1,,,,,,,,,,,
13799,The bath tub was very unsafe and the shower water was hot then cold on and off throughout the duration.,,1,,,,,,,,,,,,,1,,,,,,,,,,,
13800,The Bath was clean and nice but except the dirty of the walls.,,,1,1,,,,,,,,,,,1,,,,,,,,,,,
13801,The bath was stocked and gave back dirty.,,1,,1,,,,,,,,,,,1,,,,,,,,,,,
13802,The bath wasnt usable.,,1,,,,,,,,,,,,,1,,,,,,,,,,,
13803,The bath/shower is very slippery so was worried I was going to break a bone.,,1,,,1,,,,,,,,,,1,,,,,,,,,,,
13804,"The bathroom - in particular the bath and the shower, were excellent!",1,,,,,,,,,,,,,,1,,,,,,,,,,,
13805,The bathroom - the sliding door didn't close properly so very little privacy and the lighting in there was awful.,,1,,,,,,,,,,,,,1,,,,,,,,,,,
13806,The bathroom / toilet is also very crammed.,,1,,,1,,,,,,,,,,1,,,,,,,,,,,
13807,The bathroom a bit too small.,,1,,,1,,,,,,,,,,1,,,,,,,,,,,
13808,The bathroom a little dated.,,1,,,,,,,,,,,,,1,,,,,,,,,,,
13809,The bathroom accessories were faulty and broken.,,1,,,,1,,,,,,,,,1,,,,,,,,,,,
13810,"The bathroom also has a bidet and washing kits, including comb and body moisturiser.",1,,,,,1,,,,,,,,,1,,,,,,,,,,,
13811,The bathroom also renovated.,1,,,,,,,,,,,,,,1,,,,,,,,,,,
13812,"The bathroom amenities could do with a bit of sprucing up, clean wise, considering it's a 4 star hotel.",,1,,1,,1,,,,,,,,,1,,,,,,,,,,,
13813,The bathroom amenities were very good.,1,,,,,1,,,,,,,,,1,,,,,,,,,,,
13814,The bathroom and room clean up system.,1,,,1,,,,,,,,1,,,1,,,,,,,,,,,
13815,The bathroom and shower is small.,,1,,,1,,,,,,,,,,1,,,,,,,,,,,
13816,"The bathroom because there was half a curtain and half a shower stall, the toilet did not work, there are too many stairs to reach it.",,1,,,,,,,,,,,,,1,,,,,,,,,,,
13817,The bathroom ceramic was broken.,,1,,,,,,,,,,,,,1,,,,,,,,,,,
13818,The bathroom clean.,1,,,1,,,,,,,,,,,1,,,,,,,,,,,
13819,The bathroom could be cleaner.,,1,,1,,,,,,,,,,,1,,,,,,,,,,,
13820,"The bathroom could be renewed (fumes, a classic) / refurnishing needed.",,1,,,,,,,,,,,,,1,,,,,,,,,,,
13821,The bathroom could be renovated.,,1,,,,,,,,,,,,,1,,,,,,,,,,,
13822,The bathroom could do with another shelf for toiletry.,,,1,,,,,,,,,,,,1,,,,,,,,,,,
13823,The bathroom could have been a bit bigger.,,1,,,1,,,,,,,,,,1,,,,,,,,,,,
13824,The bathroom could have been better.,,1,,,,,,,,,,,,,1,,,,,,,,,,,
13825,The bathroom could have been nicer.,,1,,,,,,,,,,,,,1,,,,,,,,,,,
13826,The bathroom could not be heated.,,1,,,,1,,,,,,,,,1,,,,,,,,,,,
13827,The bathroom did not fit the rest of the room.,,1,,,,,,,,,,,,,1,,,,,,,,,,,
13828,"The bathroom did not have a bidet, it's a pity because it was cozy and equipped with all the comforts.",,1,,,1,,,,,,,,,,1,,,,,,,,,,,
13829,The bathroom did not have a shower tray.,,1,,,,,,,,,,,,,1,,,,,,,,,,,
13830,The bathroom did not include a bathtub as it was shown on pictures.,,1,,,,1,,,,,,,,,1,,,,,,,,,,,
13831,"The bathroom did not work, we reported it to the manager and he told us that the maintenance staff was on ""Vacation"" and never in our stay did they give us an answer (even after reporting the problem several times).",,1,,,,,,,1,,,,,,1,,,,,,,,,,,
13832,"The bathroom didn't have a separate space for shower, so essentially you are showering right next to the toilet and sink.",,1,,,,,,,,,,,,,1,,,,,,,,,,,
13833,"The bathroom doesn't look like in the pics, the room.",,1,,,,,,,,,,1,,,1,,,,,,,,,,,
13834,The bathroom door couldn't be closed properly.,,1,,,,,,,,,,,,,1,,,,,,,,,,,
13835,The bathroom door didn't close right.,,1,,,,,,,,,,,,,1,,,,,,,,,,,
13836,The bathroom door got stuck in the evening and we fixed it with the help of another customer.,,1,,,,,,,,,,,,,1,,,,,,,,,,,
13837,"The bathroom door isn?t really a door and also can?t close, so provides very little privacy.",,1,,,,,,,,,,,,,1,,,,,,,,,,,
13838,The bathroom door looked like someone was trying to break in foot was damaged.,,1,,,,,,,,,,,,,1,,,,,,,,,,,
13839,The bathroom door makes quite a lot of noise when opening.,,1,,,,,,,,,,,,,1,,,,1,,,,,,,
13840,The bathroom door opened into the bed so could feel a little cramped at times.,,1,,,,,,,,,,,,,1,,1,,,,,,,,,
13841,The bathroom door opened on the bed not at all convenient.,,1,,,1,,,,,,,,,,1,,1,,,,,,,,,
13842,The bathroom door squeaked a little and wouldn't open fully.,,1,,,,,,,,,,,,,1,,,,1,,,,,,,
13843,The bathroom door squeaked terribly.,,1,,,,,,,,,,,,,1,,,,,,,,,,,
13844,The bathroom door was noise slamming when entering or exiting the bathroom.,,1,,,,,,,,,,,,,1,,,,1,,,,,,,
13845,The bathroom door was super close to the closet so sometimes it was hard to get through.,,1,,,,,,,,,,,,,1,,,,,,,,,,,
13846,The bathroom door wouldn't close!,,1,,,,,,,,,,,,,1,,,,,,,,,,,
13847,The bathroom doors gave no privacy.,,1,,,,,,,,,,,,,1,,,,,,,,,,,
13848,The bathroom drains made the room smell a little.,,1,,,,,,,,,,1,,,1,,,,,,,,,,,
13849,"The bathroom even more, so the photos we saw didn't meet at all our expectations.",,1,,,,,,,,,,,,,1,,,,,,,,,,,
13850,The bathroom everything perfect.,1,,,,,,,,,,,,,,1,,,,,,,,,,,
13851,"The bathroom extractor fan worked continuously, it's not too disturbing, but it can be heard at night.",,1,,,,,,,,,,,,,1,,,,,,,,,,1,
13852,The bathroom facilities are dated.,,1,,,,,,,,,,,,,1,,,,,,,,,,,
13853,The bathroom fan made a lot of noise when turning on the light.,,1,,,,,,,,,,,,,1,,,,1,,,,,,,
13854,The bathroom felt outdated.,,1,,,,,,,,,,,,,1,,,,,,,,,,,
13855,The bathroom fixtures should be mitigated.,,1,,,,,,,,,,,,,1,,,,,,,,,,,
13856,The bathroom flooded sometimes when we had a shower.,,1,,,,,,,,,,,,,1,,,,,,,,,,,
